id,clerk_id,email,email_verified,is_registered,is_suspended,suspended_at,allow_message_notif,allow_event_notif,allow_gathering_notif,allow_comment_notif,allow_bookmark_notif,last_login_at,role,created_at,updated_at,deleted_at
47,clerk_30b2ca5315824c7c97aa,user47@example.com,True,True,False,,True,True,True,True,True,2026-01-29T11:50:05.782165Z,USER,2026-01-25T09:52:05.782155Z,2026-02-01T04:55:05.782160Z,
48,clerk_6169545526894b23b9bf,user48@example.com,True,True,False,,True,True,True,True,True,2026-02-03T09:23:05.782200Z,USER,2026-01-02T22:44:05.782189Z,2026-02-04T09:33:05.782195Z,
49,clerk_954f9594a3ba4ba295b0,user49@example.com,True,True,False,,True,True,True,True,True,2026-01-31T18:09:05.782383Z,USER,2026-01-01T22:30:05.782361Z,2026-01-30T21:12:05.782377Z,
50,clerk_151be442863a4bbf8a33,user50@example.com,True,True,False,,True,True,True,True,True,2026-02-02T14:21:05.782432Z,USER,2026-01-07T06:33:05.782420Z,2026-01-30T22:47:05.782427Z,
51,clerk_4705ea0ba6474ea28ea6,user51@example.com,True,True,False,,True,True,True,True,True,2026-02-02T02:56:05.782566Z,USER,2026-01-29T11:00:05.782456Z,2026-01-30T14:41:05.782462Z,
52,clerk_54ad7aa322354f94a67b,user52@example.com,True,True,False,,True,True,True,True,True,2026-01-30T16:18:05.782644Z,USER,2026-01-25T13:30:05.782628Z,2026-02-01T06:41:05.782637Z,
53,clerk_6f3c3e9520c44729991f,user53@example.com,True,True,False,,True,True,True,True,True,2026-02-01T13:14:05.782689Z,USER,2026-01-28T19:23:05.782676Z,2026-02-03T00:16:05.782683Z,
54,clerk_6e4562f21d5e4b7498f4,user54@example.com,True,True,False,,True,True,True,True,True,2026-02-03T02:37:05.782730Z,USER,2026-01-30T07:48:05.782718Z,2026-02-04T13:30:05.782725Z,
55,clerk_2004048b5cbf4b6b82b3,user55@example.com,True,True,False,,True,True,True,True,True,2026-01-30T00:20:05.782771Z,USER,2026-01-05T14:09:05.782759Z,2026-02-02T14:24:05.782765Z,
56,clerk_80e1d789467342488d24,user56@example.com,True,True,False,,True,True,True,True,True,2026-01-29T09:38:05.782809Z,USER,2026-01-01T07:35:05.782798Z,2026-02-03T09:00:05.782804Z,
57,clerk_e3b8131fb33e410b9f6f,user57@example.com,True,True,False,,True,True,True,True,True,2026-02-02T00:15:05.782848Z,USER,2026-01-12T16:22:05.782837Z,2026-01-31T17:12:05.782843Z,
58,clerk_f58dbfecf82f44d4933e,user58@example.com,True,True,False,,True,True,True,True,True,2026-02-02T07:15:05.782947Z,USER,2026-01-15T06:42:05.782900Z,2026-01-31T23:42:05.782907Z,
59,clerk_1a1e809184d048189e1c,user59@example.com,True,True,False,,True,True,True,True,True,2026-01-31T04:47:05.783020Z,USER,2025-12-27T06:05:05.783005Z,2026-02-05T05:24:05.783013Z,
60,clerk_198218d5d5d0401cb321,user60@example.com,True,True,False,,True,True,True,True,True,2026-02-02T07:20:05.783067Z,USER,2026-01-20T22:37:05.783055Z,2026-02-02T00:45:05.783061Z,
61,clerk_c1fcde6dadb240c3b9e8,user61@example.com,True,True,False,,True,True,True,True,True,2026-01-30T01:13:05.783111Z,USER,2025-12-30T12:49:05.783098Z,2026-02-03T15:28:05.783105Z,
62,clerk_f0b539214eab42cdbb94,user62@example.com,True,True,False,,True,True,True,True,True,2026-01-28T08:16:05.783153Z,USER,2026-01-29T09:52:05.783141Z,2026-02-02T17:53:05.783147Z,
63,clerk_f358dabea12f4160b9d3,user63@example.com,True,True,False,,True,True,True,True,True,2026-02-04T00:07:05.783195Z,USER,2026-01-30T05:54:05.783182Z,2026-01-30T20:28:05.783189Z,
64,clerk_f014cbf67c3f4b388b49,user64@example.com,True,True,False,,True,True,True,True,True,2026-01-31T17:04:05.783245Z,USER,2026-01-23T13:51:05.783233Z,2026-02-03T18:08:05.783239Z,
65,clerk_abe32897fc59476d96bc,user65@example.com,True,True,False,,True,True,True,True,True,2026-02-05T04:20:05.783287Z,USER,2026-01-31T16:28:05.783275Z,2026-02-01T04:16:05.783281Z,
66,clerk_7181e6a15c5a49ea9f98,user66@example.com,True,True,False,,True,True,True,True,True,2026-01-30T06:09:05.783328Z,USER,2026-01-21T01:53:05.783316Z,2026-02-01T16:06:05.783322Z,
67,clerk_4b8a2874823c4479b546,user67@example.com,True,True,False,,True,True,True,True,True,2026-01-29T08:33:05.783386Z,USER,2026-01-12T06:55:05.783373Z,2026-02-02T17:01:05.783380Z,
68,clerk_962d565887ad4c9e9745,user68@example.com,True,True,False,,True,True,True,True,True,2026-02-01T01:16:05.783428Z,USER,2025-12-31T09:34:05.783415Z,2026-02-02T03:07:05.783422Z,
69,clerk_11acb7e6203e4ceeaadb,user69@example.com,True,True,False,,True,True,True,True,True,2026-02-05T05:42:05.783467Z,USER,2025-12-29T07:45:05.783455Z,2026-02-04T07:59:05.783461Z,
70,clerk_0319e3c56da340d9a32b,user70@example.com,True,True,False,,True,True,True,True,True,2026-02-04T02:15:05.783508Z,USER,2026-01-05T14:21:05.783496Z,2026-02-01T02:16:05.783502Z,
71,clerk_b587e2379fc04aaca362,user71@example.com,True,True,False,,True,True,True,True,True,2026-02-01T12:41:05.783550Z,USER,2025-12-29T04:36:05.783538Z,2026-02-03T19:12:05.783545Z,
72,clerk_0c760e1407c94a98a7b9,user72@example.com,True,True,False,,True,True,True,True,True,2026-01-30T23:06:05.783588Z,USER,2026-02-02T12:14:05.783577Z,2026-02-01T09:42:05.783583Z,
73,clerk_d59a2633ddf1442da8e5,user73@example.com,True,True,False,,True,True,True,True,True,2026-01-31T16:59:05.783628Z,USER,2026-01-16T00:03:05.783617Z,2026-02-02T02:37:05.783623Z,
74,clerk_ba7864f0223049f6afbc,user74@example.com,True,True,False,,True,True,True,True,True,2026-02-03T14:06:05.783666Z,USER,2026-02-01T06:50:05.783655Z,2026-01-31T13:13:05.783661Z,
75,clerk_5d679c7e426b422081fe,user75@example.com,True,True,False,,True,True,True,True,True,2026-02-01T20:01:05.784037Z,USER,2026-01-03T23:11:05.784015Z,2026-02-03T04:23:05.784031Z,
76,clerk_0b396532c27f493fabc3,user76@example.com,True,True,False,,True,True,True,True,True,2026-02-04T09:27:05.784097Z,USER,2026-01-25T16:26:05.784085Z,2026-01-31T09:00:05.784092Z,
77,clerk_e49207a84af349418dd7,user77@example.com,True,True,False,,True,True,True,True,True,2026-02-02T23:12:05.784138Z,USER,2025-12-31T21:20:05.784127Z,2026-01-31T03:23:05.784133Z,
78,clerk_20014b6d32b5492f93d1,user78@example.com,True,True,False,,True,True,True,True,True,2026-02-01T08:58:05.784177Z,USER,2026-01-29T07:44:05.784166Z,2026-02-03T23:01:05.784172Z,
79,clerk_dc9306d62f4843acbe1f,user79@example.com,True,True,False,,True,True,True,True,True,2026-02-01T06:14:05.784214Z,USER,2026-01-22T09:39:05.784203Z,2026-02-02T14:48:05.784208Z,
80,clerk_213b4fb963ee46aaa639,user80@example.com,True,True,False,,True,True,True,True,True,2026-01-31T02:39:05.784252Z,USER,2025-12-26T17:26:05.784240Z,2026-02-03T06:19:05.784246Z,
