id,member_id,nickname,nickname_last_changed_at,birth_date,gender,nation_code,university_id,status,created_at,updated_at,deleted_at
58,58,zhurst64,2026-01-31T12:29:05.792558Z,1995-10-10,FEMALE,KR,73,FOREIGN_RESIDENT,2026-01-28T12:29:05.792558Z,2026-02-04T19:45:05.792562Z,
59,59,jeffrey2829,2026-02-01T17:56:05.792666Z,1996-12-22,FEMALE,DE,91,FOREIGN_RESIDENT,2026-01-29T17:56:05.792666Z,2026-01-30T16:34:05.792669Z,
60,60,ddavis,2026-01-09T17:27:05.792752Z,2004-04-25,MALE,JP,85,INTERNATIONAL_STUDENT,2026-01-06T17:27:05.792752Z,2026-01-30T13:02:05.792756Z,
61,61,hernandezernest,2026-01-09T12:40:05.792861Z,2004-07-17,FEMALE,US,85,INTERNATIONAL_STUDENT,2026-01-06T12:40:05.792861Z,2026-01-30T18:58:05.792865Z,
62,62,ycarlson,2026-01-16T22:58:05.793430Z,2000-10-17,MALE,KR,44,FOREIGN_RESIDENT,2026-01-13T22:58:05.793430Z,2026-02-02T11:35:05.793441Z,
63,63,dcarlson92,2026-01-07T13:31:05.793852Z,2000-01-10,MALE,KR,54,INTERNATIONAL_STUDENT,2026-01-04T13:31:05.793852Z,2026-02-03T08:49:05.793862Z,
64,64,tasha0157,2026-01-13T09:04:05.794079Z,2001-03-17,FEMALE,FR,91,LANGUAGE_SCHOOL_STUDENT,2026-01-10T09:04:05.794079Z,2026-02-02T09:42:05.794087Z,
65,65,kayla51,2026-01-16T08:50:05.794241Z,2003-02-02,MALE,JP,9,KOREAN_STUDENT,2026-01-13T08:50:05.794241Z,2026-02-02T22:03:05.794247Z,
66,66,ryan7085,2026-01-28T01:06:05.794387Z,1996-02-16,MALE,JP,44,LANGUAGE_SCHOOL_STUDENT,2026-01-25T01:06:05.794387Z,2026-01-30T16:02:05.794394Z,
67,67,teresa28,2026-01-27T22:19:05.794530Z,1995-08-12,FEMALE,VN,12,FOREIGN_RESIDENT,2026-01-24T22:19:05.794530Z,2026-01-30T14:11:05.794536Z,
68,68,harrellkenneth6,2026-02-02T06:43:05.794672Z,1997-01-25,MALE,JP,85,EXCHANGE_STUDENT,2026-01-30T06:43:05.794672Z,2026-02-02T15:49:05.794678Z,
69,69,ericfarmer,2026-02-03T18:48:05.794931Z,1996-09-13,MALE,DE,54,EXCHANGE_STUDENT,2026-01-31T18:48:05.794931Z,2026-02-04T12:39:05.794938Z,
70,70,georgetracy,2026-01-24T03:44:05.795187Z,2003-09-13,FEMALE,FR,85,LANGUAGE_SCHOOL_STUDENT,2026-01-21T03:44:05.795187Z,2026-02-01T11:41:05.795193Z,
71,71,hickmannatasha,2026-01-01T18:00:05.795440Z,2003-07-22,MALE,VN,44,LANGUAGE_SCHOOL_STUDENT,2025-12-29T18:00:05.795440Z,2026-01-31T12:16:05.795447Z,
72,72,john39,2026-02-03T02:04:05.795692Z,1999-08-01,FEMALE,VN,112,FOREIGN_RESIDENT,2026-01-31T02:04:05.795692Z,2026-02-03T14:15:05.795698Z,
73,73,millertodd99,2026-01-21T06:05:05.795828Z,1995-10-19,MALE,JP,112,INTERNATIONAL_STUDENT,2026-01-18T06:05:05.795828Z,2026-02-02T09:01:05.795833Z,
74,74,spenceamanda,2026-01-12T03:45:05.796093Z,1995-10-20,MALE,US,54,KOREAN_STUDENT,2026-01-09T03:45:05.796093Z,2026-02-03T11:10:05.796099Z,
75,75,davidalvarez48,2026-01-02T21:51:05.796346Z,1998-01-20,FEMALE,FR,9,KOREAN_STUDENT,2025-12-30T21:51:05.796346Z,2026-02-04T16:35:05.796352Z,
76,76,josephbrennan,2026-02-05T17:32:05.796598Z,1997-07-26,MALE,VN,54,KOREAN_STUDENT,2026-02-02T17:32:05.796598Z,2026-02-02T12:03:05.796604Z,
77,77,ibrandt,2026-02-06T01:49:05.796865Z,2001-07-25,FEMALE,VN,85,EXCHANGE_STUDENT,2026-02-03T01:49:05.796865Z,2026-01-31T10:51:05.796871Z,
78,78,jenniferross,2026-01-08T19:53:05.797040Z,1998-09-12,FEMALE,VN,85,LANGUAGE_SCHOOL_STUDENT,2026-01-05T19:53:05.797040Z,2026-02-02T20:37:05.797045Z,
79,79,samuel8742,2026-01-13T14:17:05.797389Z,1996-04-19,FEMALE,DE,1,KOREAN_STUDENT,2026-01-10T14:17:05.797389Z,2026-02-02T04:59:05.797406Z,
80,80,wrightcaleb89,2026-01-09T18:16:05.797564Z,2002-01-05,FEMALE,KR,44,LANGUAGE_SCHOOL_STUDENT,2026-01-06T18:16:05.797564Z,2026-02-03T14:56:05.797570Z,
